"accX","accY","accZ"
-0.04174805,0.1726074,-1.016602
-0.04150391,0.1713867,-1.016357
-0.04199219,0.1721191,-1.011963
-0.04125977,0.173584,-1.010254
-0.03930664,0.173584,-1.01001
-0.03930664,0.1728516,-1.01123
-0.03979492,0.1726074,-1.012207
-0.03955078,0.1726074,-1.013428
-0.04003906,0.1726074,-1.011719
-0.04174805,0.1738281,-1.010498
-0.04272461,0.1750488,-1.010498
-0.04272461,0.1755371,-1.011719
-0.04296875,0.175293,-1.012939
-0.04296875,0.1755371,-1.013916
-0.04272461,0.175293,-1.009033
-0.04272461,0.1755371,-1.009521
-0.04174805,0.1755371,-1.009521
-0.04101563,0.1745605,-1.010742
-0.04052734,0.173584,-1.012939
-0.04003906,0.1728516,-1.012695
-0.04077148,0.1728516,-1.009277
-0.04248047,0.1738281,-1.009766
-0.04223633,0.1748047,-1.010986
-0.04150391,0.1745605,-1.011963
-0.04150391,0.1743164,-1.013916
-0.04150391,0.173584,-1.01416
-0.04248047,0.1738281,-1.01123
-0.04321289,0.1750488,-1.010498
-0.04150391,0.1762695,-1.01001
-0.04199219,0.1745605,-1.011475
-0.04223633,0.173584,-1.013428
-0.04174805,0.1743164,-1.010986
-0.04125977,0.1750488,-1.009521
-0.04174805,0.175293,-1.010986
-0.04272461,0.175293,-1.01123
-0.04296875,0.1750488,-1.013672
-0.04248047,0.1743164,-1.014893
-0.04223633,0.1738281,-1.011719
-0.04248047,0.1743164,-1.009766
-0.04199219,0.1757813,-1.010254
-0.04101563,0.1757813,-1.008301
-0.04101563,0.1748047,-1.01001
-0.04125977,0.1738281,-1.012939
-0.0402832,0.1733398,-1.011719
-0.04101563,0.1740723,-1.01123
-0.04150391,0.1743164,-1.009766
-0.04174805,0.1740723,-1.011475
-0.04174805,0.1738281,-1.013672
-0.04199219,0.1740723,-1.012207
-0.04296875,0.1748047,-1.011475
-0.04321289,0.1755371,-1.011963
-0.04223633,0.1750488,-1.010498
-0.04150391,0.1745605,-1.010254
-0.04125977,0.1743164,-1.012939
-0.04077148,0.1738281,-1.011963
-0.04150391,0.1738281,-1.011719
-0.04174805,0.1745605,-1.011963
-0.04223633,0.1745605,-1.010254
-0.04150391,0.1733398,-1.012695
-0.04052734,0.173584,-1.010498
-0.04052734,0.1740723,-1.010742
-0.04077148,0.1743164,-1.012451
-0.04077148,0.1743164,-1.010254
-0.04150391,0.1748047,-1.009521
-0.04150391,0.1745605,-1.011719
-0.04125977,0.1740723,-1.010742
-0.04248047,0.1743164,-1.012207
-0.04321289,0.1748047,-1.013672
-0.04345703,0.1750488,-1.010254
-0.04321289,0.1745605,-1.013184
-0.04272461,0.1740723,-1.016113
-0.04223633,0.1745605,-1.011475
-0.04125977,0.1745605,-1.012451
-0.04125977,0.173584,-1.009766
-0.04125977,0.1733398,-1.010986
-0.04077148,0.1733398,-1.012207
-0.04052734,0.1740723,-1.009766
-0.04125977,0.1748047,-1.009521
-0.04174805,0.1748047,-1.011963
-0.04248047,0.1740723,-1.010498
-0.04272461,0.1740723,-1.01123
-0.04223633,0.1748047,-1.012451
-0.04223633,0.1757813,-1.009521
-0.04199219,0.1750488,-1.010742
-0.04223633,0.1745605,-1.012451
-0.04248047,0.175293,-1.012207
-0.04199219,0.1745605,-1.012939
-0.04174805,0.1740723,-1.010254
-0.04174805,0.1740723,-1.010986
-0.04150391,0.1743164,-1.013184
-0.04125977,0.1743164,-1.011719
-0.04150391,0.173584,-1.011719
-0.04125977,0.1733398,-1.011963
-0.04125977,0.1743164,-1.010498
-0.04150391,0.1743164,-1.01123
-0.04125977,0.1740723,-1.012207
-0.04077148,0.1745605,-1.011475
-0.04150391,0.175293,-1.010742
-0.04150391,0.1750488,-1.011719
-0.04150391,0.1750488,-1.009277
-0.04199219,0.1748047,-1.011963
-0.04150391,0.1750488,-1.011719
-0.04150391,0.1750488,-1.010742
-0.04223633,0.1748047,-1.012451
-0.04223633,0.1748047,-1.011475
-0.04199219,0.1743164,-1.009277
-0.04199219,0.1745605,-1.01123
-0.04174805,0.1748047,-1.011719
-0.04150391,0.1743164,-1.011475
-0.04174805,0.1738281,-1.012207
-0.04150391,0.1738281,-1.011963
-0.04125977,0.1743164,-1.009521
-0.04248047,0.1748047,-1.011475
-0.04272461,0.175293,-1.01123
-0.04296875,0.1743164,-1.012207
-0.04272461,0.173584,-1.013916
-0.04199219,0.1745605,-1.01123
-0.04248047,0.1760254,-1.011475
-0.04345703,0.1765137,-1.012939
-0.04370117,0.177002,-1.01123
-0.04345703,0.1767578,-1.010986
-0.04296875,0.1765137,-1.011719
-0.04248047,0.1760254,-1.01001
-0.04345703,0.175293,-1.009766
-0.04345703,0.1755371,-1.011475
-0.04248047,0.1765137,-1.010254
-0.04223633,0.1755371,-1.011475
-0.04223633,0.1748047,-1.013184
-0.04150391,0.175293,-1.009521
-0.04174805,0.1757813,-1.011475
-0.04174805,0.1757813,-1.010498
-0.04199219,0.175293,-1.011475
-0.04199219,0.1750488,-1.013184
-0.04223633,0.1748047,-1.012451
-0.04321289,0.1748047,-1.01123
-0.04272461,0.1750488,-1.012207
-0.04199219,0.1757813,-1.010986
-0.04223633,0.175293,-1.010498
-0.04296875,0.1743164,-1.012207
-0.04296875,0.1745605,-1.010986
-0.04272461,0.1757813,-1.010742
-0.04345703,0.1762695,-1.012207
-0.04345703,0.1755371,-1.010254
-0.04345703,0.1755371,-1.013184
-0.04296875,0.1750488,-1.012695
-0.04272461,0.1748047,-1.011719
-0.04321289,0.1748047,-1.012939
-0.04321289,0.1760254,-1.011719
-0.04272461,0.1765137,-1.01001
-0.04272461,0.1757813,-1.013184
-0.04321289,0.1748047,-1.013672
-0.04443359,0.1748047,-1.012207
-0.04443359,0.1755371,-1.012695
-0.04418945,0.1767578,-1.012695
-0.04394531,0.1762695,-1.011719
-0.04272461,0.175293,-1.013428
-0.04199219,0.1745605,-1.010986
-0.04248047,0.1748047,-1.013428
-0.04223633,0.1748047,-1.012695
-0.04199219,0.1748047,-1.010254
-0.04174805,0.1750488,-1.011475
-0.04125977,0.1748047,-1.010742
-0.04101563,0.1740723,-1.009277
-0.04101563,0.1738281,-1.011963
-0.04174805,0.1743164,-1.011963
-0.04248047,0.1745605,-1.01001
-0.04272461,0.1745605,-1.011719
-0.04248047,0.1748047,-1.011963
-0.04394531,0.1765137,-1.010986
-0.04516602,0.1767578,-1.012207
-0.04418945,0.1765137,-1.012695
-0.04418945,0.1750488,-1.013916
-0.04467773,0.1760254,-1.010742
-0.04272461,0.1760254,-1.015137
-0.04321289,0.175293,-1.012695
-0.04345703,0.1755371,-1.010254
-0.04223633,0.1748047,-1.01123
-0.04223633,0.1745605,-1.010498
-0.04174805,0.1748047,-1.011475
-0.04101563,0.1750488,-1.010986
-0.04174805,0.1755371,-1.009521
-0.04272461,0.1760254,-1.01123
-0.04223633,0.1765137,-1.010498
-0.04248047,0.1760254,-1.010254
-0.04296875,0.175293,-1.01123
-0.04394531,0.1755371,-1.010498
-0.04443359,0.1762695,-1.011963
-0.04394531,0.1757813,-1.010986
-0.04370117,0.1748047,-1.010986
-0.04345703,0.1748047,-1.013184
-0.04272461,0.1750488,-1.012939
-0.04272461,0.1755371,-1.011963
-0.04345703,0.1765137,-1.012207
-0.04345703,0.177002,-1.010986
-0.04321289,0.1757813,-1.010742
-0.04345703,0.1748047,-1.012207
-0.04296875,0.1748047,-1.010986
-0.04321289,0.175293,-1.01123
-0.04345703,0.1757813,-1.010986
-0.04345703,0.1760254,-1.008301
-0.04370117,0.1757813,-1.01123
-0.04321289,0.1760254,-1.01123
-0.04223633,0.1762695,-1.010254
-0.04174805,0.1757813,-1.01123
-0.04248047,0.1757813,-1.010742
-0.04321289,0.1760254,-1.009766
-0.04321289,0.1757813,-1.012939
-0.04321289,0.1755371,-1.012939
-0.04321289,0.1757813,-1.01123
-0.04345703,0.1760254,-1.012451
-0.04345703,0.1762695,-1.011475
-0.04321289,0.1765137,-1.009521
-0.04345703,0.1762695,-1.011963
-0.04223633,0.1750488,-1.010254
-0.04248047,0.1750488,-1.01123
-0.04174805,0.1750488,-1.01123
-0.04125977,0.1748047,-1.009521
-0.04223633,0.1748047,-1.010498
-0.04296875,0.1750488,-1.011963
-0.04296875,0.1750488,-1.01001
-0.04272461,0.1750488,-1.010986
-0.04321289,0.1757813,-1.012451
-0.04418945,0.1760254,-1.011475
-0.04467773,0.1755371,-1.013672
-0.04394531,0.1750488,-1.013184
-0.04345703,0.175293,-1.012207
-0.04370117,0.1745605,-1.013916
-0.04321289,0.1755371,-1.008789
-0.04370117,0.1755371,-1.01123
-0.04345703,0.1750488,-1.012207
-0.04296875,0.175293,-1.010498
-0.04272461,0.175293,-1.012207
-0.04272461,0.1757813,-1.012451
-0.04296875,0.1757813,-1.01001
-0.04296875,0.1757813,-1.011963
-0.04272461,0.1750488,-1.012207
-0.04248047,0.1748047,-1.01001
-0.04248047,0.1748047,-1.011719
-0.04223633,0.1748047,-1.011963
-0.04174805,0.1745605,-1.009277
-0.04101563,0.1748047,-1.010254
-0.04174805,0.1755371,-1.008789
-0.04296875,0.1765137,-1.009766
-0.04370117,0.1762695,-1.01123
-0.04443359,0.1755371,-1.010498
-0.04443359,0.1750488,-1.012207
-0.04394531,0.175293,-1.014404
-0.04443359,0.1767578,-1.011719
-0.0456543,0.1774902,-1.011475
-0.0456543,0.1772461,-1.012939
-0.04541016,0.1762695,-1.010742
-0.04467773,0.1755371,-1.011719
-0.04296875,0.1748047,-1.013184
-0.04321289,0.1745605,-1.010986
-0.04370117,0.175293,-1.011719
-0.04272461,0.175293,-1.010254
-0.04272461,0.1748047,-1.011475
-0.04223633,0.1740723,-1.013184
-0.04223633,0.1748047,-1.010742
-0.04272461,0.1757813,-1.011719
-0.04296875,0.1762695,-1.012695
-0.04321289,0.1757813,-1.01001
-0.04248047,0.1755371,-1.011719
-0.04174805,0.175293,-1.011719
-0.04272461,0.1762695,-1.009277
-0.04296875,0.1765137,-1.010742
-0.04296875,0.1765137,-1.01123
-0.04370117,0.1757813,-1.009766
-0.04345703,0.1755371,-1.012207
-0.04345703,0.1755371,-1.011475
-0.04418945,0.1757813,-1.012695
-0.04321289,0.1760254,-1.012207
-0.04345703,0.1762695,-1.010254
-0.04394531,0.1760254,-1.011719
-0.04345703,0.175293,-1.012451
-0.04296875,0.175293,-1.010742
-0.04321289,0.1750488,-1.011475
-0.04370117,0.1748047,-1.010742
-0.04321289,0.1750488,-1.010254
-0.04345703,0.1748047,-1.010986
-0.04296875,0.1750488,-1.012451
-0.04272461,0.1757813,-1.009766
-0.04321289,0.1762695,-1.009766
-0.04272461,0.1760254,-1.012207
-0.04321289,0.1745605,-1.010742
-0.04248047,0.1745605,-1.013184
-0.04174805,0.175293,-1.012451
-0.04223633,0.175293,-1.012207
-0.04321289,0.1755371,-1.013672
-0.04321289,0.1757813,-1.012451
-0.04394531,0.1750488,-1.010742
-0.04394531,0.1755371,-1.012207
-0.04296875,0.1757813,-1.009766
-0.04272461,0.1757813,-1.008301
-0.04199219,0.1757813,-1.010986
-0.04150391,0.1755371,-1.010742
-0.04248047,0.1745605,-1.009521
-0.04296875,0.1743164,-1.011963
-0.04199219,0.175293,-1.009521
-0.04272461,0.1755371,-1.01123
-0.04272461,0.175293,-1.01123
-0.04321289,0.1750488,-1.010986
-0.04345703,0.1748047,-1.013184
-0.04345703,0.1748047,-1.012207
-0.04321289,0.1755371,-1.009521
-0.04223633,0.1760254,-1.012207
-0.04150391,0.1757813,-1.010986
-0.04174805,0.1745605,-1.008789
-0.04174805,0.1740723,-1.012451
-0.04223633,0.1740723,-1.011475
-0.04272461,0.1748047,-1.010498
-0.04321289,0.1755371,-1.012695
-0.04321289,0.1762695,-1.01001
-0.04272461,0.1755371,-1.013184
-0.04223633,0.1748047,-1.011963
-0.04321289,0.1748047,-1.01001
-0.04370117,0.175293,-1.01123
-0.04345703,0.1760254,-1.01123
-0.04272461,0.1760254,-1.009277
-0.04272461,0.175293,-1.012939
-0.04248047,0.1748047,-1.012451
-0.04248047,0.1748047,-1.010742
-0.04272461,0.175293,-1.012207
-0.04321289,0.1757813,-1.011719
-0.04418945,0.1757813,-1.010742
-0.04418945,0.1757813,-1.013672
-0.04370117,0.1765137,-1.011719
-0.04443359,0.1765137,-1.013672
-0.04370117,0.1762695,-1.010986
-0.04272461,0.1760254,-1.007568
-0.04223633,0.1757813,-1.009033
-0.04125977,0.1748047,-1.009033
-0.04174805,0.1743164,-1.008545
-0.04370117,0.175293,-1.010254
-0.04418945,0.1762695,-1.010742
-0.04418945,0.1757813,-1.01001
-0.04443359,0.1755371,-1.013916
-0.04443359,0.1757813,-1.015869
-0.04589844,0.1760254,-1.013184
-0.04638672,0.1767578,-1.015137
-0.0456543,0.1765137,-1.013428
-0.04541016,0.1760254,-1.015381
-0.04272461,0.1765137,-1.013428
-0.04174805,0.1772461,-1.009277
-0.04199219,0.177002,-1.009277
-0.04150391,0.177002,-1.008789
-0.04150391,0.1760254,-1.006348
-0.04174805,0.1760254,-1.008057
-0.04077148,0.1765137,-1.008545
-0.04077148,0.1760254,-1.008545
-0.04150391,0.1755371,-1.011719
-0.04223633,0.1755371,-1.012695
-0.04296875,0.1760254,-1.010742
-0.04296875,0.1767578,-1.011475
-0.04272461,0.1755371,-1.010986
-0.04296875,0.177002,-1.012451
-0.04296875,0.1782227,-1.011719
-0.04370117,0.177002,-1.010498
-0.04492188,0.1757813,-1.013184
-0.04467773,0.1755371,-1.014404
-0.04443359,0.1755371,-1.013916
-0.04370117,0.175293,-1.017334
-0.04296875,0.1745605,-1.018555
-0.04174805,0.1728516,-1.015869
-0.04101563,0.1723633,-1.013672
-0.03857422,0.1728516,-1.013184
-0.03613281,0.1723633,-1.008057
-0.03466797,0.1728516,-1.005371
-0.03393555,0.1755371,-1.004883
-0.03613281,0.1750488,-1.001465
-0.03808594,0.1784668,-0.9980469
-0.03662109,0.1784668,-1.006836
-0.04003906,0.177002,-1.004883
-0.04077148,0.177002,-1.005127
-0.04492188,0.1779785,-1.019043
-0.04833984,0.1774902,-1.022949
-0.0534668,0.1799316,-1.02002
-0.05249023,0.1801758,-1.03125
-0.05053711,0.1782227,-1.020508
-0.04760742,0.1796875,-1.011475
-0.04174805,0.1782227,-1.016357
-0.04003906,0.1765137,-1.005371
-0.03491211,0.1730957,-1.012451
-0.03417969,0.1711426,-1.003418
-0.0324707,0.1704102,-1.006592
-0.03100586,0.1687012,-1.009766
-0.03100586,0.1689453,-1.003174
-0.03125,0.1699219,-1.008301
-0.0324707,0.170166,-1.01001
-0.03540039,0.1723633,-1.007568
-0.03759766,0.175293,-1.01123
-0.03930664,0.1772461,-1.009277
-0.04125977,0.1782227,-1.008057
-0.04248047,0.1794434,-1.012939
-0.04321289,0.1801758,-1.01123
-0.04370117,0.1794434,-1.012207
-0.04418945,0.1779785,-1.01709
-0.04370117,0.1738281,-1.015625
-0.04199219,0.1723633,-1.018311
-0.04101563,0.1723633,-1.015625
-0.04052734,0.1721191,-1.013184
-0.04003906,0.1723633,-1.013916
-0.03955078,0.1721191,-1.011963
-0.03930664,0.1716309,-1.010254
-0.03857422,0.171875,-1.011963
-0.03833008,0.1733398,-1.009277
-0.03955078,0.1755371,-1.008301
-0.04003906,0.1767578,-1.01001
-0.04052734,0.1765137,-1.007324
-0.04199219,0.1762695,-1.008301
-0.04248047,0.1760254,-1.011719
-0.04199219,0.1767578,-1.012451
-0.04223633,0.1760254,-1.014893
-0.04199219,0.1748047,-1.013672
-0.04174805,0.1748047,-1.013916
-0.04101563,0.1748047,-1.014893
-0.04101563,0.1743164,-1.012207
-0.04077148,0.1748047,-1.012207
-0.04003906,0.1755371,-1.013672
-0.04003906,0.1748047,-1.011719
-0.04125977,0.1740723,-1.011719
-0.04150391,0.175293,-1.012695
-0.04101563,0.1762695,-1.010254
-0.04101563,0.1757813,-1.01123
-0.04125977,0.1757813,-1.012939
-0.04248047,0.1757813,-1.01001
-0.04174805,0.1748047,-1.011475
-0.04101563,0.173584,-1.010986
-0.04052734,0.1728516,-1.012451
-0.03979492,0.1733398,-1.012695
-0.0390625,0.1726074,-1.010254
-0.03955078,0.1726074,-1.010498
-0.03930664,0.173584,-1.009766
-0.03930664,0.1750488,-1.007324
-0.04052734,0.1755371,-1.009277
-0.04199219,0.1757813,-1.011719
-0.04296875,0.1757813,-1.010742
-0.04321289,0.1762695,-1.013672
-0.04248047,0.1757813,-1.013916
-0.04223633,0.1760254,-1.01416
-0.04125977,0.1748047,-1.014648
-0.04052734,0.1738281,-1.011963
-0.04003906,0.1740723,-1.013184
-0.03930664,0.1738281,-1.012451
-0.0402832,0.173584,-1.010254
-0.04052734,0.1733398,-1.011475
-0.04052734,0.173584,-1.012207
-0.04101563,0.1738281,-1.010254
-0.04125977,0.1743164,-1.012451
-0.04077148,0.1748047,-1.012207
-0.04101563,0.175293,-1.012207
-0.04101563,0.175293,-1.011963
-0.04003906,0.1750488,-1.011963
-0.04077148,0.1745605,-1.011719
-0.04052734,0.1743164,-1.010254
-0.04003906,0.1745605,-1.008301
-0.03955078,0.1750488,-1.01001
-0.03930664,0.1750488,-1.010498
-0.03955078,0.1743164,-1.010254
-0.04003906,0.1733398,-1.011475
-0.04101563,0.1733398,-1.011719
-0.04125977,0.1743164,-1.011963
-0.04125977,0.1748047,-1.012939
-0.04101563,0.175293,-1.013428
-0.04052734,0.1745605,-1.012207
-0.04052734,0.1740723,-1.011719
-0.03979492,0.1745605,-1.011475
-0.03979492,0.1748047,-1.009033
-0.04150391,0.1740723,-1.010986
-0.04150391,0.1740723,-1.010986
-0.04174805,0.1740723,-1.011963
-0.04150391,0.1748047,-1.012695
-0.04077148,0.1755371,-1.010742
-0.04150391,0.1760254,-1.008789
-0.04223633,0.1767578,-1.01123
-0.04248047,0.1762695,-1.011719
-0.04345703,0.1760254,-1.01123
-0.04394531,0.1767578,-1.013672
-0.04394531,0.177002,-1.012695
-0.04418945,0.1765137,-1.011963
-0.04394531,0.1760254,-1.014648
-0.04296875,0.1750488,-1.014404
-0.04248047,0.173584,-1.015137
-0.04199219,0.1743164,-1.012207
-0.04150391,0.175293,-1.010742
-0.04150391,0.1757813,-1.01123
-0.04101563,0.1757813,-1.008301
-0.04052734,0.1760254,-1.007568
-0.03979492,0.1762695,-1.010498
-0.03979492,0.1760254,-1.009521
-0.04101563,0.175293,-1.008789
-0.04174805,0.1750488,-1.010254
-0.04223633,0.175293,-1.010742
-0.04248047,0.175293,-1.013428
-0.04174805,0.1743164,-1.016602
-0.04077148,0.1738281,-1.014893
-0.03979492,0.1750488,-1.012207
-0.03979492,0.1755371,-1.008789
-0.03979492,0.1760254,-1.008057
-0.04003906,0.1755371,-1.009521
-0.04003906,0.1757813,-1.008545
-0.04052734,0.1757813,-1.009033
-0.04101563,0.175293,-1.012451
-0.04052734,0.1740723,-1.012451
-0.04077148,0.1730957,-1.012939
-0.04077148,0.1726074,-1.014893
-0.04003906,0.1728516,-1.013184
-0.04003906,0.1730957,-1.012451
-0.04003906,0.1743164,-1.012451
-0.0390625,0.1745605,-1.010742
-0.03833008,0.1730957,-1.010254
-0.0378418,0.1740723,-1.009521
-0.03833008,0.1740723,-1.008057
-0.03881836,0.173584,-1.010986
-0.0390625,0.173584,-1.01123
-0.03979492,0.1740723,-1.010986
-0.04077148,0.1745605,-1.014404
-0.04174805,0.175293,-1.012939
-0.04321289,0.1760254,-1.010986
-0.04296875,0.1762695,-1.013428
-0.04150391,0.1757813,-1.012695
-0.04077148,0.1745605,-1.010986
-0.04101563,0.1738281,-1.013184
-0.04077148,0.1738281,-1.01123
-0.03930664,0.1738281,-1.012207
-0.0390625,0.1730957,-1.011963
-0.04003906,0.1730957,-1.010986
-0.04052734,0.1728516,-1.013184
-0.03979492,0.1733398,-1.012207
-0.03979492,0.1738281,-1.010254
-0.04003906,0.1743164,-1.01123
-0.03955078,0.175293,-1.010498
-0.03930664,0.1755371,-1.008789
-0.04003906,0.1748047,-1.010498
-0.04052734,0.1743164,-1.010986
-0.04150391,0.1740723,-1.009521
-0.04223633,0.1738281,-1.013428
-0.04174805,0.1738281,-1.013672
-0.04150391,0.1738281,-1.012207
-0.0402832,0.1740723,-1.013428
-0.0402832,0.173584,-1.01123
-0.04003906,0.1743164,-1.013428
-0.04052734,0.1743164,-1.013428
-0.04052734,0.173584,-1.011475
-0.03979492,0.173584,-1.012451
-0.0390625,0.1745605,-1.010742
-0.04003906,0.175293,-1.007813
-0.04125977,0.1755371,-1.010742
-0.04125977,0.175293,-1.01123
-0.04125977,0.1748047,-1.01123
-0.04150391,0.1743164,-1.01416
-0.04125977,0.1743164,-1.013672
-0.04101563,0.1748047,-1.010254
-0.0402832,0.1755371,-1.011475
-0.04077148,0.1748047,-1.009521
-0.04101563,0.1738281,-1.01123
-0.04052734,0.1738281,-1.012207
-0.03979492,0.1743164,-1.009277
-0.0402832,0.1748047,-1.009521
-0.04101563,0.1755371,-1.01001
-0.04101563,0.1762695,-1.009521
-0.04125977,0.175293,-1.01123
-0.04125977,0.1745605,-1.015137
-0.04101563,0.1743164,-1.01416
-0.04223633,0.1748047,-1.014648
-0.04223633,0.1750488,-1.014404
-0.04101563,0.1745605,-1.011475
-0.04003906,0.1743164,-1.011719
-0.03881836,0.1745605,-1.009766
-0.03857422,0.1743164,-1.01001
-0.03930664,0.1745605,-1.010986
-0.04003906,0.1750488,-1.009521
-0.04077148,0.1750488,-1.009521
-0.04101563,0.1748047,-1.012207
-0.04077148,0.1750488,-1.010742
-0.04150391,0.1750488,-1.011719
-0.04174805,0.1748047,-1.015137
-0.04101563,0.1743164,-1.014648
-0.04077148,0.1738281,-1.013428
-0.04052734,0.173584,-1.013672
-0.0402832,0.173584,-1.010742
-0.04003906,0.1745605,-1.011963
-0.04003906,0.1745605,-1.010742
-0.03979492,0.1743164,-1.009521
-0.03979492,0.1748047,-1.011475
-0.0402832,0.175293,-1.01001
-0.04174805,0.175293,-1.010742
-0.04248047,0.1750488,-1.013184
-0.04199219,0.1745605,-1.012939
-0.04125977,0.1738281,-1.012695
-0.0402832,0.173584,-1.015137
-0.03955078,0.1728516,-1.013184
-0.03955078,0.1733398,-1.011719
-0.03857422,0.1743164,-1.013184
-0.03808594,0.1745605,-1.011963
-0.03881836,0.1733398,-1.01001
-0.03833008,0.1738281,-1.010498
-0.03857422,0.1738281,-1.009766
-0.03930664,0.1743164,-1.011475
-0.04003906,0.1745605,-1.011719
-0.04077148,0.1745605,-1.010986
-0.04125977,0.1743164,-1.013916
-0.04150391,0.1743164,-1.012451
-0.04125977,0.1748047,-1.010742
-0.0402832,0.175293,-1.011963
-0.03979492,0.175293,-1.010986
-0.04003906,0.1745605,-1.010986
-0.04003906,0.1738281,-1.013184
-0.04052734,0.173584,-1.010986
-0.04052734,0.1738281,-1.013428
-0.04052734,0.173584,-1.011719
-0.04101563,0.1728516,-1.010742
-0.04077148,0.1730957,-1.013184
-0.04052734,0.1740723,-1.011719
-0.04101563,0.1743164,-1.010986
-0.04077148,0.1745605,-1.012695
-0.04101563,0.1745605,-1.010254
-0.04125977,0.1745605,-1.010498
-0.04101563,0.1745605,-1.013428
-0.04101563,0.173584,-1.012695
-0.04077148,0.173584,-1.011719
-0.03930664,0.1750488,-1.012939
-0.03930664,0.1745605,-1.01001
-0.03979492,0.1738281,-1.010254
-0.03930664,0.173584,-1.010254
-0.03979492,0.1743164,-1.010742
-0.04003906,0.1748047,-1.012207
-0.0402832,0.1748047,-1.01123
-0.0402832,0.1743164,-1.011963
-0.0402832,0.1730957,-1.013916
-0.04052734,0.1728516,-1.013428
-0.04052734,0.1738281,-1.013672
-0.04052734,0.1740723,-1.013672
-0.04003906,0.173584,-1.011963
-0.03930664,0.1730957,-1.010498
-0.03955078,0.1733398,-1.010986
-0.03955078,0.1743164,-1.010254
-0.0402832,0.1745605,-1.010742
-0.04077148,0.1745605,-1.011475
-0.04101563,0.1748047,-1.010986
-0.04150391,0.1750488,-1.012207
-0.04077148,0.1748047,-1.010498
-0.0402832,0.1740723,-1.010254
-0.04052734,0.1743164,-1.013184
-0.0402832,0.1745605,-1.012695
-0.03979492,0.1733398,-1.010742
-0.03979492,0.1733398,-1.011963
-0.03881836,0.1733398,-1.012207
-0.0390625,0.1726074,-1.01001
-0.03979492,0.173584,-1.01123
-0.03930664,0.1748047,-1.010254
-0.03955078,0.1740723,-1.008057
-0.0402832,0.1733398,-1.012695
-0.04077148,0.1740723,-1.011475
-0.04077148,0.1748047,-1.012939
-0.04003906,0.1755371,-1.012207
-0.0402832,0.1757813,-1.010742
-0.04125977,0.1757813,-1.011475
-0.04125977,0.175293,-1.012451
-0.04150391,0.1748047,-1.010254
-0.04125977,0.1745605,-1.010986
-0.04077148,0.1740723,-1.011475
-0.0402832,0.173584,-1.01123
-0.04052734,0.1730957,-1.012695
-0.04052734,0.1730957,-1.01123
-0.04003906,0.173584,-1.01001
-0.0390625,0.1738281,-1.013428
-0.0390625,0.1738281,-1.012695
-0.03979492,0.173584,-1.013672
-0.04101563,0.1740723,-1.014893
-0.04101563,0.1740723,-1.012207
-0.0402832,0.1743164,-1.009521
-0.03979492,0.175293,-1.01001
-0.03857422,0.175293,-1.008789
-0.03808594,0.1748047,-1.007568
-0.0378418,0.1743164,-1.008057
-0.03759766,0.1738281,-1.006104
-0.03808594,0.1740723,-1.006592
-0.03808594,0.1740723,-1.008545
-0.03930664,0.1743164,-1.008301
-0.04052734,0.1730957,-1.012939
-0.04077148,0.1726074,-1.012695
-0.04223633,0.1726074,-1.014648
-0.04321289,0.1730957,-1.015381
-0.04296875,0.1738281,-1.012695
-0.04296875,0.1748047,-1.011719
-0.04248047,0.1755371,-1.013672
-0.04248047,0.1755371,-1.011963
-0.04321289,0.175293,-1.010742
-0.04345703,0.1760254,-1.011719
-0.04345703,0.1767578,-1.010986
-0.04516602,0.1767578,-1.012207
-0.04516602,0.1760254,-1.014893
-0.04370117,0.1757813,-1.012939
-0.04394531,0.1765137,-1.011963
-0.04370117,0.1777344,-1.009766
-0.04174805,0.1767578,-1.005615
-0.03955078,0.1750488,-1.007568
-0.03955078,0.1740723,-1.008545
-0.04199219,0.1757813,-1.009521
-0.04443359,0.1784668,-1.009521
-0.04394531,0.1765137,-1.010254
-0.04345703,0.1721191,-1.013672
-0.04589844,0.1733398,-1.015869
-0.046875,0.175293,-1.017578
-0.04614258,0.1738281,-1.019531
-0.04711914,0.1743164,-1.019287
-0.04711914,0.1762695,-1.013672
-0.04443359,0.177002,-1.007568
-0.04077148,0.1784668,-1.006836
-0.04101563,0.1774902,-1.005371
-0.04125977,0.1748047,-1.008789
-0.04003906,0.1728516,-1.009033
-0.03979492,0.171875,-1.008545
-0.04077148,0.1711426,-1.011719
-0.04101563,0.1706543,-1.013672
-0.04125977,0.1708984,-1.013428
-0.04101563,0.1726074,-1.014404
-0.04101563,0.1733398,-1.011719
-0.04199219,0.1728516,-1.01001
-0.04223633,0.1733398,-1.013184
-0.04174805,0.1750488,-1.011963
-0.04345703,0.1765137,-1.01001
-0.04467773,0.1767578,-1.010742
-0.04541016,0.1760254,-1.009766
-0.04614258,0.1767578,-1.011475
-0.04492188,0.1772461,-1.012207
-0.04345703,0.1762695,-1.01001
-0.04296875,0.1755371,-1.010742
-0.04223633,0.1743164,-1.010986
-0.04077148,0.1740723,-1.009521
-0.04003906,0.1728516,-1.010742
-0.04003906,0.1716309,-1.011719
-0.03979492,0.1723633,-1.009521
-0.04003906,0.1733398,-1.010742
-0.04077148,0.1738281,-1.011475
-0.04150391,0.1750488,-1.010986
-0.04248047,0.1750488,-1.012207
-0.04248047,0.1748047,-1.010742
-0.04345703,0.175293,-1.012451
-0.04516602,0.1762695,-1.013916
